Game	Star Wars		
Description	Address Buffer Test		
Notes	Only the data probe needs to be connected		
Notes	"Start, Stop, and CLK are connected internally"		
Start	A15	NEG	
Stop	A15	NEG	
Clock	Phase2	NEG	
Stop to Start	TRUE		
Clock to Phase2	TRUE		
Enable addr counter	TRUE		
Start to A15	TRUE		
Force Write	FALSE		
NOP Mode	FALSE		
Signal	Location	Pin	Signature
AB0	1C	3	UUUU
AB1	1C	14	5555
AB2	1C	16	CCCC
AB3	1C	18	7F7F
AB4	1C	12	5H21
AB5	1C	5	0AFA
AB6	1C	7	UPFH
AB7	1C	9	52F8
AB8	1B	3	HC89
AB9	1B	5	2H70
AB10	1B	7	HPP0
AB11	1B	16	1293
AB12	1B	18	HAP7
AB13	0B/C	1	3C96
A14	0B/C	2	3827
A15	0B/C	3	755U
